	timestamp	length	highest_layer	host_ip	dest_ip	host_port	dest_port	http_req_uri	content-type
0	1521394900.952944	766	HTTP	10.0.2.2	172.17.0.2	55952	8080	/j	
1	1521394901.056015	459	DATA-TEXT-LINES	172.17.0.2	10.0.2.2	8080	55952		text/html;charset=ISO-8859-1
2	1521394901.081545	703	HTTP	10.0.2.2	172.17.0.2	55952	8080	/struts/utils.js	
3	1521394901.083876	59	DATA-TEXT-LINES	172.17.0.2	10.0.2.2	8080	55952		text/javascript
4	1521394903.605212	765	HTTP	10.0.2.2	172.17.0.2	55952	8080	/	
5	1521394903.606702	211	HTTP	172.17.0.2	10.0.2.2	8080	55952		text/html
6	1521394903.610774	780	HTTP	10.0.2.2	172.17.0.2	55952	8080	/showcase.action	
7	1521394903.649155	459	DATA-TEXT-LINES	172.17.0.2	10.0.2.2	8080	55952		text/html;charset=ISO-8859-1
8	1521394903.678907	717	HTTP	10.0.2.2	172.17.0.2	55952	8080	/struts/utils.js	
9	1521394903.680853	59	DATA-TEXT-LINES	172.17.0.2	10.0.2.2	8080	55952		text/javascript
10	1521394906.801015	854	HTTP	10.0.2.2	172.17.0.2	55952	8080	/actionchaining/actionChain1!input.action	
11	1521394907.455466	459	DATA-TEXT-LINES	172.17.0.2	10.0.2.2	8080	55952		text/html;charset=ISO-8859-1
12	1521394912.048495	851	HTTP	10.0.2.2	172.17.0.2	55952	8080	/tags/ui/actionTagExample!input.action	
13	1521394912.411073	459	DATA-TEXT-LINES	172.17.0.2	10.0.2.2	8080	55952		text/html;charset=ISO-8859-1
14	1521394912.431239	762	HTTP	10.0.2.2	172.17.0.2	55952	8080	/struts/xhtml/styles.css	
15	1521394912.432486	739	HTTP	10.0.2.2	172.17.0.2	55959	8080	/struts/utils.js	
16	1521394912.4345	59	DATA-TEXT-LINES	172.17.0.2	10.0.2.2	8080	55952		text/css